DATASET = co2020 case challenge part
NAME = tools over vehicles over vehicle days over distance with 300 requests over 20 days

DAYS = 20
CAPACITY = 40
MAX_TRIP_DISTANCE = 15000
DEPOT_COORDINATE = 0

VEHICLE_COST = 500000
VEHICLE_DAY_COST = 1000
DISTANCE_COST = 1

TOOLS = 4
1	3	32	10000000
2	9	38	30000000
3	6	34	40000000
4	6	46	50000000

COORDINATES = 291
0	3917	6819
1	7946	6158
2	9060	6185
3	9432	6187
4	8220	6223
5	3468	6275
6	4320	6284
7	4030	6288
8	8263	6321
9	3410	6163
10	3985	6351
11	7546	6512
12	3754	6559
13	7373	6605
14	7537	6628
15	7055	6633
16	7366	6230
17	8331	6741
18	7192	6742
19	3692	6750
20	8546	6786
21	3917	6819
22	8084	6859
23	7715	6899
24	4257	6994
25	4797	7038
26	8857	7087
27	4528	2361
28	9316	7132
29	8805	7151
30	8851	7158
31	4230	7160
32	3588	7162
33	7562	7181
34	7493	7196
35	2288	4310
36	4102	7253
37	6693	7312
38	7793	7324
39	8742	7367
40	6549	2338
41	8895	5974
42	9561	7469
43	8259	7513
44	4513	7581
45	4388	4373
46	9296	7694
47	5358	7712
48	7121	7727
49	5921	7729
50	8008	7747
51	5598	7768
52	8811	7898
53	5370	7907
54	8872	7950
55	8468	7997
56	7114	8029
57	5591	8039
58	7487	8053
59	7728	8064
60	7480	6455
61	7409	8130
62	6126	8158
63	8904	8171
64	8097	5142
65	7265	8224
66	7544	8234
67	6842	8246
68	6085	8293
69	7514	8295
70	6853	8295
71	9363	8411
72	3616	8441
73	6181	8500
74	7741	8510
75	5865	8538
76	5776	8577
77	6296	8596
78	3994	4542
79	7679	8619
80	7792	8621
81	9047	8646
82	3887	2546
83	5501	8742
84	6624	8764
85	5497	8783
86	5415	8784
87	8103	8828
88	5915	8831
89	7056	8868
90	3764	6597
91	7277	5068
92	7531	8998
93	6666	9042
94	3820	4614
95	7360	9085
96	7731	9087
97	6703	9090
98	7875	9104
99	7628	9168
100	5988	9191
101	5128	4638
102	8311	9196
103	6360	9200
104	7501	9205
105	6685	9223
106	6827	8654
107	6348	9281
108	8551	9287
109	8868	9369
110	7171	9389
111	6322	8715
112	8468	4778
113	5486	4780
114	7328	4798
115	7395	8678
116	4061	4816
117	9501	7643
118	3529	2963
119	7955	6993
120	6003	8516
121	8738	5165
122	6710	348
123	6844	3170
124	6535	409
125	6769	3183
126	7601	9346
127	6648	543
128	4199	5205
129	3050	5207
130	6576	723
131	7375	8616
132	6785	1074
133	5430	3317
134	6885	1288
135	7218	9346
136	8141	5344
137	6638	3380
138	6521	1661
139	5938	1668
140	6458	1685
141	6499	7403
142	6392	1844
143	8114	5418
144	8166	5438
145	5701	2084
146	7170	2093
147	5325	2094
148	4145	6597
149	5015	2277
150	5426	3505
151	4775	2401
152	4672	2416
153	6342	2417
154	6030	2422
155	9396	5516
156	916	2637
157	2881	2659
158	3404	2689
159	1259	2743
160	3539	2746
161	295	2759
162	4816	2814
163	5349	2843
164	6540	2892
165	5975	2906
166	5067	3004
167	5870	3035
168	6378	3051
169	5981	3064
170	5001	3093
171	6659	3107
172	7837	5631
173	4927	3141
174	5861	3186
175	4283	3199
176	6083	3209
177	6437	3229
178	3699	3268
179	5176	3319
180	2780	3368
181	5569	3388
182	5869	3390
183	6537	3394
184	2110	3416
185	5926	3456
186	5407	3458
187	9158	5043
188	3196	3575
